job_id,snapshot_date,company_id,company_name,company_website,careers_url,job_title,job_url,location,city,state,country,remote,salary_min,salary_max,department,category,date_found,last_seen_at,source_url,discovery_method,job_confidence_score,status
e4d9c6374efb,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"Director, Measurement Infrastructure",https://careers.bluefors.com/jobs/7785600-director-measurement-infrastructure,"Syracuse, NY, United States",Syracuse,NY,United States,Remote,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
9251ecd86708,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,R&D and Engineering,https://careers.bluefors.com/jobs/7784005-toolmaker-i,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
282bbb3ad994,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Final QC Technician I,https://careers.bluefors.com/jobs/7758692-final-qc-technician-i,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
7fdda253c106,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Business Development Specialist,https://careers.bluefors.com/jobs/7752465-business-development-specialist,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
6307fa3b327d,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Stockroom Associate,https://careers.bluefors.com/jobs/7737483-stockroom-associate,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
0eb1eb383af1,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"(Sr.) Product Manager, Measurement Infrastructure",https://careers.bluefors.com/jobs/7728562-sr-product-manager-measurement-infrastructure,Hybrid,,,,Hybrid,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
3dfa19a4c2f3,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,CNC Machine Operator I,https://careers.bluefors.com/jobs/7708577-cnc-machine-operator-i,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
f02437780332,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Resident Cryogenic Engineer,https://careers.bluefors.com/jobs/7707351-resident-cryogenic-engineer,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
0fdb5452fafe,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Production Control Coordinator,https://careers.bluefors.com/jobs/7694531-production-control-coordinator,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
da03c9b935ec,2026-05-29,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Cryo Engineer,https://careers.bluefors.com/jobs/7677576-cryo-engineer,Hybrid,,,,Hybrid,,,,Core Space,2026-05-29,2026-05-29,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
