job_id,snapshot_date,company_id,company_name,company_website,careers_url,job_title,job_url,location,city,state,country,remote,salary_min,salary_max,department,category,date_found,last_seen_at,source_url,discovery_method,job_confidence_score,status
54ff67f5275f,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Manufacturing Associate: BTA Assembler,https://careers.bluefors.com/jobs/8190303-manufacturing-associate-bta-assembler,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
5bc16c4b4fe7,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Manufacturing Associate: Compressor Assembly,https://careers.bluefors.com/jobs/8190267-manufacturing-associate-compressor-assembly,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
3c8f7f752242,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,R&D and Engineering,https://careers.bluefors.com/jobs/8190250-toolmaker,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
ffc0f9c180a3,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"Installation Field Service Technician, East Coast",https://careers.bluefors.com/jobs/8126332-installation-field-service-technician-east-coast,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
9e98d837473e,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"Installation Field Service Technician , West Coast",https://careers.bluefors.com/jobs/8126326-installation-field-service-technician-west-coast,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
2e8c959e69eb,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Customer Program Manager,https://careers.bluefors.com/jobs/8114573-customer-program-manager,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
bc981d860b12,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Legal Analyst,https://careers.bluefors.com/jobs/8110901-legal-analyst,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
274cf5aedd27,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Technical Service Manager,https://careers.bluefors.com/jobs/8060586-technical-service-manager,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
4fc21f16dc33,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Cryogenic R&D Engineer,https://careers.bluefors.com/jobs/8055772-cryogenic-r-d-engineer,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
29fe6463991a,2026-08-14,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Customer Service Representative-Sales,https://careers.bluefors.com/jobs/8055766-customer-service-representative-sales,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-14,2026-08-14,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
